Profile,Indexed,Follower,Following,Boards,Pins, Views 
https://www.pinterest.com/Bella553ivy/,TRUE,0,0,5,466, 1 
https://www.pinterest.com/BiancaStore470ivy/,TRUE,0,0,5,433, (1)
https://www.pinterest.com/CarolineStore651ivy/,TRUE,0,0,6,462, (1)
https://www.pinterest.com/Caroline385ivy/,TRUE,0,0,6,503, 5 
https://www.pinterest.com/CassandraShop951ivy/,TRUE,0,0,5,437, (1)
https://www.pinterest.com/Cassandra663ivy/,TRUE,0,0,5,419, (1)
https://www.pinterest.com/CharlotteShop615ivy/,TRUE,0,0,6,383, (1)
https://www.pinterest.com/Eleanor414ivy/,TRUE,0,0,6,424, (1)
https://www.pinterest.com/GiselleStore761ivy/,TRUE,0,0,6,439, (1)
https://www.pinterest.com/GraceStore215ivy/,TRUE,0,0,6,463, 2 
https://www.pinterest.com/Hannah38ivy/,TRUE,0,0,5,421, 3 
https://www.pinterest.com/YourOnlineCardsStore/,TRUE,3,2,27,3931," 4,752 "
https://www.pinterest.com/CardCelebrations/,TRUE,3,2,27,4111," 13,478 "
https://www.pinterest.com/CardHavens/,TRUE,1,2,27,3500," 2,411 "
https://www.pinterest.com/GreetingGlory/,TRUE,2,2,27,2838," 5,332 "
https://www.pinterest.com/MomentousCards/,TRUE,1,0,27,3625," 3,576 "
https://www.pinterest.com/CardCreationss/,TRUE,2,2,27,3603," 2,709 "
https://id.pinterest.com/TheCardEmporium/,TRUE,0,1,27,3541," 3,689 "
https://id.pinterest.com/EpicGreetings/,TRUE,1,1,26,3572," 4,634 "
https://www.pinterest.com/CardBliss/,TRUE,1,2,28,3893," 3,659 "
https://id.pinterest.com/HeartfeltCards/,TRUE,1,2,26,3801," 4,681 "
https://id.pinterest.com/FestiveGreetings/,TRUE,1,2,26,3330," 4,863 "
https://id.pinterest.com/EveryOccasionCards/,TRUE,0,0,26,3409," 4,232 "
https://id.pinterest.com/CardDelight/,TRUE,1,2,26,3605," 8,431 "
https://id.pinterest.com/CheerfulCards/,TRUE,1,3,26,3813," 87,360 "
https://id.pinterest.com/SpecialMomentsCards/,TRUE,2,1,26,3757," 8,909 "
https://id.pinterest.com/CardsExpressions/,TRUE,1,2,26,3213," 6,887 "
https://www.pinterest.com/SignatureGreetings7/,TRUE,1,2,26,3428," 16,897 "
https://id.pinterest.com/WhimsicalCards/,TRUE,0,2,26,3193," 8,063 "
https://id.pinterest.com/TheGreetingsSpot/,TRUE,2,0,26,3383," 5,921 "
https://www.pinterest.com/CherishedCards7/,TRUE,1,8,26,3268," 4,263 "
https://id.pinterest.com/HappyHeartsCards/,TRUE,0,2,26,3450," 17,575 "
https://id.pinterest.com/BrightCardShop/,TRUE,1,2,26,3627," 5,269 "
https://id.pinterest.com/HappyHeartGreetings/,TRUE,0,2,26,2900," 16,889 "
https://id.pinterest.com/CelebrateAndSend/,TRUE,2,1,26,2854," 3,565 "
https://www.pinterest.com/TheCardsLoft/,TRUE,1,2,26,2802," 7,860 "
https://id.pinterest.com/TheCardStudio/,TRUE,0,0,26,2949," 4,603 "
https://id.pinterest.com/CardSymphony/,TRUE,1,2,26,3061," 8,886 "
https://id.pinterest.com/DreamyGreetings7/,TRUE,4,2,26,2890," 370,575 "
https://id.pinterest.com/CardBlissBoutique/,TRUE,5,2,27,3310," 15,195 "
https://id.pinterest.com/TheCardHaven/,TRUE,1,2,26,2906," 10,481 "
https://id.pinterest.com/EnchantingCards/,TRUE,1,2,26,3154," 10,939 "
https://www.pinterest.com/TimelessGreetingsCo/,TRUE,0,2,26,2918," 7,842 "
https://www.pinterest.com/GabriellaStore829ivy/,TRUE,0,0,5,404, (1)
https://www.pinterest.com/NadineStore226ivy/,TRUE,0,0,5,410, 20 
https://www.pinterest.com/NadineShop159ivy/,TRUE,0,0,5,424, (1)
https://www.pinterest.com/NaomiOnline934ivy/,TRUE,0,0,5,404, (1)
https://www.pinterest.com/Naomi416ivy/,TRUE,0,0,5,410, (1)
https://www.pinterest.com/NoraStore382ivy/,TRUE,0,0,5,382, (1)
https://www.pinterest.com/NoraShop541ivy/,TRUE,0,0,5,392, (1)
https://www.pinterest.com/Nora615ivy/,TRUE,0,0,5,410, (1)
https://www.pinterest.com/Olivia936ivy/,TRUE,0,0,5,395, 78 
https://www.pinterest.com/PaigeStore873ivy/,TRUE,0,0,5,458, (1)
https://www.pinterest.com/Paige701ivy/,TRUE,0,0,5,400, (1)
https://www.pinterest.com/PenelopeStore107ivy/,TRUE,0,0,5,422, (1)
https://www.pinterest.com/PenelopeShop142ivy/,TRUE,0,0,5,409, (1)
https://www.pinterest.com/Penelope246ivy/,TRUE,0,0,5,352, (1)
https://www.pinterest.com/PhoebeStore248ivy/,TRUE,0,0,5,411, (1)
https://www.pinterest.com/Phoebe318ivy/,TRUE,0,0,5,403, (1)
https://www.pinterest.com/QuinnStore350ivy/,TRUE,0,0,5,392, (1)
https://www.pinterest.com/Quinn975ivy/,TRUE,0,0,5,406, (1)
https://www.pinterest.com/RachelShop243ivy/,TRUE,0,0,5,424, (1)
https://www.pinterest.com/Rachel378ivy/,TRUE,0,0,5,411, (1)
https://www.pinterest.com/RubyShop401ivy/,TRUE,0,0,5,402, (1)
https://www.pinterest.com/Ruby921ivy/,TRUE,1,0,5,414," 16,887 "
https://www.pinterest.com/CassandraStore734ivy/,TRUE,0,0,5,411, (1)
https://www.pinterest.com/CharlotteOnline950ivy/,TRUE,0,0,5,380, (1)
https://www.pinterest.com/Charlotte344ivy/,TRUE,0,0,5,418, (1)
https://www.pinterest.com/ClaireStore846ivy/,TRUE,0,0,5,410, 17 
https://www.pinterest.com/IsabelleStore512ivy/,TRUE,0,0,5,422, (1)
https://www.pinterest.com/Isabelle389ivy/,TRUE,0,0,5,401, 5 
https://www.pinterest.com/IvyStore816ivy/,TRUE,0,0,5,377, (1)
https://www.pinterest.com/Samantha127ivy/,TRUE,0,0,5,390, (1)
https://www.pinterest.com/SamanthaStore472ivy/,TRUE,0,0,5,404, 133 
https://www.pinterest.com/SavannahStore164ivy/,TRUE,0,0,5,404, (1)
https://www.pinterest.com/Savannah853ivy/,TRUE,0,0,5,373, (1)
https://www.pinterest.com/ScarlettStore226ivy/,TRUE,0,0,5,415, 21 
https://www.pinterest.com/ScarlettShop752ivy/,TRUE,0,0,5,387, (1)
https://www.pinterest.com/Scarlett465ivy/,TRUE,0,0,5,419, (1)
https://www.pinterest.com/Sophia185ivy/,TRUE,0,0,5,393, (1)
https://www.pinterest.com/SophiaStore667ivy/,TRUE,0,0,5,358, (1)
https://www.pinterest.com/SophiaOnline694ivy/,TRUE,0,0,5,343, (1)
https://www.pinterest.com/StellaShop304ivy/,TRUE,0,0,5,389, (1)
https://www.pinterest.com/StellaStore353ivy/,TRUE,0,0,5,418, (1)
https://www.pinterest.com/Stella36ivy/,TRUE,0,0,5,398, (1)
https://www.pinterest.com/SydneyStore414ivy/,TRUE,0,0,5,357," 1,243 "
https://www.pinterest.com/Sydney163ivy/,TRUE,0,0,5,384, (1)
https://www.pinterest.com/Ivy669ivy/,TRUE,0,0,4,300, (1)
https://www.pinterest.com/LilaStore42ivy/,TRUE,0,0,4,330, (1)
https://www.pinterest.com/Lila545ivy/,TRUE,0,0,4,303, (1)
https://www.pinterest.com/LilyShop29ivy/,TRUE,0,0,4,291, (1)
https://www.pinterest.com/Madison607ivy/,TRUE,0,0,4,319, (1)
https://www.pinterest.com/MartinaStore890ivy/,TRUE,0,0,4,294, (1)
https://www.pinterest.com/MartinaShop718ivy/,TRUE,0,0,4,313, (1)
https://www.pinterest.com/MiaOnline12ivy/,TRUE,0,0,4,247, (1)
https://www.pinterest.com/OliviaStore993ivy/,TRUE,0,0,4,293, (1)
https://www.pinterest.com/PaigeShop142ivy/,TRUE,0,0,4,313, (1)
https://www.pinterest.com/VanessaShop692ivy/,TRUE,0,0,4,284, (1)
https://www.pinterest.com/Vanessa781ivy/,TRUE,0,0,4,325, (1)
https://www.pinterest.com/VictoriaStore284ivy/,TRUE,0,0,4,303, (1)
https://www.pinterest.com/VictoriaShop473ivy/,TRUE,0,0,4,297, (1)
https://www.pinterest.com/Victoria473ivy/,TRUE,0,0,4,302, (1)
https://www.pinterest.com/VioletStore689ivy/,TRUE,0,0,4,303, (1)
https://www.pinterest.com/VioletShop755ivy/,TRUE,0,0,4,309, (1)
https://www.pinterest.com/Violet120ivy/,TRUE,0,0,4,273, (1)
https://www.pinterest.com/WillowStore565ivy/,TRUE,0,0,4,339, (1)
https://www.pinterest.com/Willow692ivy/,TRUE,0,0,4,303, (1)
https://www.pinterest.com/ZoeStore158ivy/,TRUE,0,0,4,259, (1)
